Bought_On,Sold_On,Profit
2017-04-27 00:00:00-04:00,2017-06-12 00:00:00-04:00,0.01264596544868124
2017-07-14 00:00:00-04:00,2017-09-14 00:00:00-04:00,0.07447458391261463
2017-10-12 00:00:00-04:00,2017-12-04 00:00:00-05:00,0.10316590338566511
2017-12-15 00:00:00-05:00,2018-01-02 00:00:00-05:00,-0.019985032097678768
2018-01-09 00:00:00-05:00,2018-01-29 00:00:00-05:00,-0.025150382772246127
2018-02-20 00:00:00-05:00,2018-03-22 00:00:00-04:00,-0.011915158473674081
2018-04-13 00:00:00-04:00,2018-04-25 00:00:00-04:00,-0.06957319914771465
2018-05-07 00:00:00-04:00,2018-06-20 00:00:00-04:00,0.006318249670648202
2018-07-11 00:00:00-04:00,2018-09-20 00:00:00-04:00,0.16838199200617532
2018-10-01 00:00:00-04:00,2018-10-12 00:00:00-04:00,-0.033033555078338606
2019-01-18 00:00:00-05:00,2019-05-13 00:00:00-04:00,0.1918095664372519
2019-06-11 00:00:00-04:00,2019-08-07 00:00:00-04:00,0.0028225549113982673
2019-08-20 00:00:00-04:00,2019-12-06 00:00:00-05:00,0.2683991122580287
