Bought_On,Sold_On,Profit
2017-02-22 00:00:00-05:00,2017-03-21 00:00:00-04:00,0.02601407515277243
2017-03-23 00:00:00-04:00,2017-04-07 00:00:00-04:00,0.0042905199883171985
2017-04-13 00:00:00-04:00,2017-04-25 00:00:00-04:00,0.04901077036078427
2017-05-15 00:00:00-04:00,2017-05-30 00:00:00-04:00,0.03895152987614492
2017-06-08 00:00:00-04:00,2017-06-28 00:00:00-04:00,-0.053344301748516565
2017-06-29 00:00:00-04:00,2017-07-17 00:00:00-04:00,0.02624692901539616
2017-07-26 00:00:00-04:00,2017-09-06 00:00:00-04:00,-0.029718937930054534
2017-09-08 00:00:00-04:00,2017-10-03 00:00:00-04:00,0.01880589091757434
2017-10-09 00:00:00-04:00,2017-10-10 00:00:00-04:00,0.00030149526931522175
2017-10-16 00:00:00-04:00,2017-10-19 00:00:00-04:00,-0.0048334436852387475
2017-10-23 00:00:00-04:00,2017-11-06 00:00:00-05:00,0.043693726686600654
2017-11-13 00:00:00-05:00,2017-12-18 00:00:00-05:00,0.03425244762964663
2017-12-26 00:00:00-05:00,2018-01-10 00:00:00-05:00,0.035896079054875685
2018-01-22 00:00:00-05:00,2018-01-26 00:00:00-05:00,0.03821400590357271
2018-02-01 00:00:00-05:00,2018-02-22 00:00:00-05:00,-0.048316731041312067
2018-03-02 00:00:00-05:00,2018-03-16 00:00:00-04:00,0.09203394640068563
2018-03-21 00:00:00-04:00,2018-05-11 00:00:00-04:00,0.00717571006779516
2018-05-22 00:00:00-04:00,2018-06-04 00:00:00-04:00,0.04468705236902215
2018-06-18 00:00:00-04:00,2018-06-25 00:00:00-04:00,0.002004032421932589
2018-06-27 00:00:00-04:00,2018-07-13 00:00:00-04:00,0.05880282037765627
2018-07-24 00:00:00-04:00,2018-07-26 00:00:00-04:00,-0.0030054772570508037
2018-07-30 00:00:00-04:00,2018-08-16 00:00:00-04:00,-0.002457730714507167
2018-08-17 00:00:00-04:00,2018-09-05 00:00:00-04:00,-0.010490698218444838
2018-09-06 00:00:00-04:00,2018-10-04 00:00:00-04:00,0.005389723433578242
2018-10-05 00:00:00-04:00,2018-12-07 00:00:00-05:00,-0.08823978772117702
2018-12-11 00:00:00-05:00,2019-01-10 00:00:00-05:00,0.007498107203096849
2019-01-14 00:00:00-05:00,2019-02-08 00:00:00-05:00,0.03943645302613907
2019-02-11 00:00:00-05:00,2019-03-11 00:00:00-04:00,0.04371458163752817
2019-03-19 00:00:00-04:00,2019-03-25 00:00:00-04:00,0.0065787620472888
2019-03-27 00:00:00-04:00,2019-04-12 00:00:00-04:00,0.01988384363453921
2019-04-16 00:00:00-04:00,2019-04-25 00:00:00-04:00,0.032764217717860866
2019-05-01 00:00:00-04:00,2019-06-18 00:00:00-04:00,-0.07181627118263967
2019-06-25 00:00:00-04:00,2019-07-12 00:00:00-04:00,0.0249757501876251
2019-07-18 00:00:00-04:00,2019-07-31 00:00:00-04:00,0.07256569864211482
2019-08-08 00:00:00-04:00,2019-08-21 00:00:00-04:00,0.00791452516032165
2019-08-23 00:00:00-04:00,2019-09-12 00:00:00-04:00,0.03231605496496148
2019-09-13 00:00:00-04:00,2019-09-19 00:00:00-04:00,0.00017046954731503305
2019-09-23 00:00:00-04:00,2019-10-17 00:00:00-04:00,0.02024345741323974
2019-10-29 00:00:00-04:00,2019-11-07 00:00:00-05:00,0.01432598214853198
2019-11-11 00:00:00-05:00,2019-11-15 00:00:00-05:00,0.008474011027986172
2019-11-20 00:00:00-05:00,2019-12-10 00:00:00-05:00,0.02179418065518912
2019-12-13 00:00:00-05:00,2019-12-17 00:00:00-05:00,0.01076492396019435
