Bought_On,Sold_On,Profit
2017-02-03 00:00:00-05:00,2017-02-08 00:00:00-05:00,0.010362698517430324
2017-02-13 00:00:00-05:00,2017-02-24 00:00:00-05:00,-0.004008858933681414
2017-02-28 00:00:00-05:00,2017-03-03 00:00:00-05:00,-0.0011695914260749785
2017-03-29 00:00:00-04:00,2017-03-31 00:00:00-04:00,0.002253623868231358
2017-04-12 00:00:00-04:00,2017-04-25 00:00:00-04:00,0.043443973750339815
2017-05-15 00:00:00-04:00,2017-06-01 00:00:00-04:00,0.010521421391223251
2017-06-14 00:00:00-04:00,2017-06-27 00:00:00-04:00,0.0104456028588793
2017-07-07 00:00:00-04:00,2017-07-14 00:00:00-04:00,0.07289785516122271
2017-08-09 00:00:00-04:00,2017-09-06 00:00:00-04:00,0.005471278726592255
2017-09-21 00:00:00-04:00,2017-10-10 00:00:00-04:00,0.007630016541241735
2017-10-26 00:00:00-04:00,2017-11-01 00:00:00-04:00,0.0640681258881226
2017-11-16 00:00:00-05:00,2017-11-27 00:00:00-05:00,0.021257569750106953
2017-12-05 00:00:00-05:00,2017-12-19 00:00:00-05:00,0.05573482059307233
2017-12-28 00:00:00-05:00,2018-01-04 00:00:00-05:00,0.03905589810301402
2018-01-22 00:00:00-05:00,2018-01-31 00:00:00-05:00,0.041869424433928826
2018-02-08 00:00:00-05:00,2018-02-27 00:00:00-05:00,0.019004488955311816
2018-03-22 00:00:00-04:00,2018-04-10 00:00:00-04:00,-0.049359007801242805
2018-05-25 00:00:00-04:00,2018-06-05 00:00:00-04:00,0.04451133528181894
2018-07-03 00:00:00-04:00,2018-07-13 00:00:00-04:00,0.068157256740357
2018-07-27 00:00:00-04:00,2018-08-14 00:00:00-04:00,0.004670104072290737
2018-08-23 00:00:00-04:00,2018-08-31 00:00:00-04:00,0.02345599193767489
2018-09-10 00:00:00-04:00,2018-09-24 00:00:00-04:00,-0.015167242436885942
2018-10-09 00:00:00-04:00,2018-10-24 00:00:00-04:00,-0.02162472959169648
2018-10-29 00:00:00-04:00,2018-11-09 00:00:00-05:00,-0.011784511784511786
2018-11-16 00:00:00-05:00,2018-12-04 00:00:00-05:00,-0.0024102330688779983
2018-12-21 00:00:00-05:00,2019-01-09 00:00:00-05:00,0.0716695224704802
2019-01-30 00:00:00-05:00,2019-02-01 00:00:00-05:00,0.1341813360237445
2019-02-20 00:00:00-05:00,2019-03-06 00:00:00-05:00,0.06563940768249221
2019-03-20 00:00:00-04:00,2019-04-03 00:00:00-04:00,0.08049535603715174
2019-05-13 00:00:00-04:00,2019-05-31 00:00:00-04:00,-0.017547690576038777
2019-06-04 00:00:00-04:00,2019-06-18 00:00:00-04:00,0.18502224692393887
2019-07-08 00:00:00-04:00,2019-07-10 00:00:00-04:00,0.024642643057692704
2019-07-26 00:00:00-04:00,2019-08-21 00:00:00-04:00,-0.07587792724989961
2019-08-27 00:00:00-04:00,2019-08-30 00:00:00-04:00,0.026658639579889787
2019-09-24 00:00:00-04:00,2019-10-14 00:00:00-04:00,-0.02010851614645015
2019-11-01 00:00:00-04:00,2019-11-06 00:00:00-05:00,0.006118706966220744
2019-11-14 00:00:00-05:00,2019-11-22 00:00:00-05:00,0.028248651914842382
2019-12-09 00:00:00-05:00,2019-12-23 00:00:00-05:00,0.030152022107107435
