Bought_On,Sold_On,Profit
2017-03-20 00:00:00-04:00,2017-04-07 00:00:00-04:00,-0.053942706518809724
2017-04-26 00:00:00-04:00,2017-06-30 00:00:00-04:00,0.39975309717257335
2017-07-13 00:00:00-04:00,2017-08-16 00:00:00-04:00,0.028159486735525263
2017-09-01 00:00:00-04:00,2017-11-30 00:00:00-05:00,0.1721094470446387
2017-12-26 00:00:00-05:00,2018-02-08 00:00:00-05:00,0.2116251689470401
2018-02-16 00:00:00-05:00,2018-03-07 00:00:00-05:00,-0.030154825104053762
2018-03-09 00:00:00-05:00,2018-03-26 00:00:00-04:00,-0.020979045559315845
2018-03-27 00:00:00-04:00,2018-03-28 00:00:00-04:00,-0.09533802267280522
2018-04-18 00:00:00-04:00,2018-04-26 00:00:00-04:00,-0.05222931232168926
2018-05-04 00:00:00-04:00,2018-06-25 00:00:00-04:00,0.063926118053649
2018-07-13 00:00:00-04:00,2018-08-02 00:00:00-04:00,-0.033296291498950525
2018-08-08 00:00:00-04:00,2018-08-22 00:00:00-04:00,-0.01945525291828798
2018-08-24 00:00:00-04:00,2018-09-19 00:00:00-04:00,0.011565223529444113
2018-10-02 00:00:00-04:00,2018-10-11 00:00:00-04:00,-0.15986123792213247
2019-01-11 00:00:00-05:00,2019-01-31 00:00:00-05:00,-0.048985015135623255
2019-02-07 00:00:00-05:00,2019-03-11 00:00:00-04:00,0.003043680541364502
2019-03-14 00:00:00-04:00,2019-04-29 00:00:00-04:00,0.0557429307221744
2019-06-13 00:00:00-04:00,2019-08-06 00:00:00-04:00,0.04561837569465399
2019-08-22 00:00:00-04:00,2019-09-26 00:00:00-04:00,0.036242870281262274
2019-10-08 00:00:00-04:00,2019-12-06 00:00:00-05:00,0.17094776897226938
