Bought_On,Sold_On,Profit
2017-03-20 00:00:00-04:00,2017-05-22 00:00:00-04:00,0.20030696163967576
2017-05-31 00:00:00-04:00,2017-07-03 00:00:00-04:00,0.09639018357941098
2017-07-27 00:00:00-04:00,2017-08-24 00:00:00-04:00,0.018843887131160697
2017-09-13 00:00:00-04:00,2017-09-27 00:00:00-04:00,-0.03826065662606104
2017-10-17 00:00:00-04:00,2017-10-25 00:00:00-04:00,-0.04049467464556
2017-11-22 00:00:00-05:00,2017-12-05 00:00:00-05:00,-0.04662689757163907
2017-12-12 00:00:00-05:00,2017-12-29 00:00:00-05:00,-0.043183566499409354
2018-01-12 00:00:00-05:00,2018-02-07 00:00:00-05:00,0.001063114693710121
2018-02-23 00:00:00-05:00,2018-03-08 00:00:00-05:00,-0.04303831202693964
2018-04-12 00:00:00-04:00,2018-04-27 00:00:00-04:00,-0.05606637739723774
2018-05-03 00:00:00-04:00,2018-05-18 00:00:00-04:00,0.02101942065902973
2018-06-05 00:00:00-04:00,2018-07-05 00:00:00-04:00,0.05394695757545964
2018-08-06 00:00:00-04:00,2018-08-21 00:00:00-04:00,-0.10088000515457851
2018-09-24 00:00:00-04:00,2018-10-05 00:00:00-04:00,-0.0798378587493549
2018-10-26 00:00:00-04:00,2018-11-27 00:00:00-05:00,0.10316306170027101
2018-12-03 00:00:00-05:00,2018-12-21 00:00:00-05:00,-0.11833333969116211
2019-01-11 00:00:00-05:00,2019-01-24 00:00:00-05:00,-0.17264457579013703
2019-02-12 00:00:00-05:00,2019-02-13 00:00:00-05:00,-0.012175815199270468
2019-02-15 00:00:00-05:00,2019-02-21 00:00:00-05:00,-0.008834125117940905
2019-04-02 00:00:00-04:00,2019-04-11 00:00:00-04:00,-0.06937211807500665
2019-06-12 00:00:00-04:00,2019-07-31 00:00:00-04:00,0.08993057190817977
2019-09-06 00:00:00-04:00,2019-09-27 00:00:00-04:00,0.06602119033289044
2019-10-02 00:00:00-04:00,2019-10-07 00:00:00-04:00,-0.05544826768703415
2019-10-14 00:00:00-04:00,2019-11-29 00:00:00-05:00,0.33565950618443763
