Bought_On,Sold_On,Profit
2017-02-14 00:00:00-05:00,2017-03-06 00:00:00-05:00,-0.021290120461160078
2017-03-17 00:00:00-04:00,2017-04-12 00:00:00-04:00,-0.003987645997013289
2017-04-27 00:00:00-04:00,2017-06-16 00:00:00-04:00,0.08335844973286743
2017-06-22 00:00:00-04:00,2017-07-05 00:00:00-04:00,-0.044662291261684084
2017-07-14 00:00:00-04:00,2017-08-07 00:00:00-04:00,0.003598041781756045
2017-08-08 00:00:00-04:00,2017-08-16 00:00:00-04:00,-0.013892626920519846
2017-08-18 00:00:00-04:00,2017-08-21 00:00:00-04:00,-0.0025000042385525667
2017-08-24 00:00:00-04:00,2017-09-28 00:00:00-04:00,0.004893972570686911
2017-10-04 00:00:00-04:00,2017-11-16 00:00:00-05:00,0.0915032679738561
2017-11-20 00:00:00-05:00,2017-11-21 00:00:00-05:00,0.013073430973383537
2017-11-22 00:00:00-05:00,2017-11-29 00:00:00-05:00,-0.040150248376290554
2017-12-29 00:00:00-05:00,2018-02-08 00:00:00-05:00,0.05671272830030705
2018-02-27 00:00:00-05:00,2018-03-26 00:00:00-04:00,-0.005448305741799331
2018-05-14 00:00:00-04:00,2018-05-31 00:00:00-04:00,-0.04485420356718384
2018-06-07 00:00:00-04:00,2018-06-14 00:00:00-04:00,-0.013397436187956413
2018-07-10 00:00:00-04:00,2018-08-16 00:00:00-04:00,0.07953027609163255
2018-08-29 00:00:00-04:00,2018-10-05 00:00:00-04:00,-0.030331039598219256
2018-11-07 00:00:00-05:00,2018-11-15 00:00:00-05:00,-0.031051188400990415
2018-12-04 00:00:00-05:00,2018-12-12 00:00:00-05:00,-0.02387745128711649
2019-01-03 00:00:00-05:00,2019-01-04 00:00:00-05:00,-0.024900992199084482
2019-01-16 00:00:00-05:00,2019-03-11 00:00:00-04:00,0.06490244895053321
2019-03-18 00:00:00-04:00,2019-05-10 00:00:00-04:00,0.07526342082445692
2019-06-13 00:00:00-04:00,2019-08-06 00:00:00-04:00,0.039374089231374976
